track_name,pos,album_name,artist_name,duration_ms,playlist_name,playlist_pid,playlist_num_tracks,playlist_num_albums,playlist_num_artists,playlist_num_followers,playlist_collaborative,harmony_degree,tonic,mode,tempo,mfcc_shape,spectral_contrast_mean,spectral_contrast_var,spectral_centroid_mean,spectral_centroid_var,spectral_flatness_mean,spectral_flatness_var,progression1,progression2
How I Feel,0,How I Feel,Flo Rida,169557,2014,8,21,21,19,1,False,6.297152560083594,F,major,129.19921875,"(13, 7656)",21.10634574772069,11.337711645652591,2640.3012282277514,890.561052293832,0.083839275,0.20573775,"['v', 'vi', 'ii', 'iio', 'bVII', 'vi', 'ii', 'I']","['ii', 'I', 'bVII', 'ii', 'iio', 'bVII', 'ii', 'I']"
Lo Que No Sabes Tú,1,Mi Niña Bonita - Reloaded,Chino & Nacho,232120,2014,8,21,21,19,1,False,6.7913510403682045,A,major,161.4990234375,"(13, 10429)",21.820560170692563,11.282618007641108,2693.961412698073,1082.6187976934443,0.036503382,0.07209051,"['i', 'iv', 'i', 'iio']","['iv', 'i', 'iio', 'i']"
Chucuchá,2,El Sonido,Ilegales,206959,2014,8,21,21,19,1,False,5.641400940930476,A,minor,143.5546875,"(13, 9565)",21.4158420515161,11.880544598689344,2628.9818377872757,809.0007849166739,0.048471875,0.124956176,"['iv', 'bVII', 'i', 'iv', 'bVII', 'i']","['i', 'iv', 'bVII', 'i', 'iv']"
Mueva la colita,3,Top Caribe,Various Artists,242373,2014,8,21,21,19,1,False,8.63502251173484,A,minor,143.5546875,"(13, 10439)",21.660701991091106,11.768187429294755,3254.803700780975,926.4303749830136,0.066690035,0.09913181,"['bVI', 'v', 'bVI', 'v', 'bVI', 'v']","['V', 'bVII', 'V', 'bVII', 'i', 'I', 'iio', 'I']"
Be My Baby,4,Lloviendo Estrellas,Leslie Grace,218253,2014,8,21,21,19,1,False,5.192371475953565,E,major,135.99917763157896,"(13, 9648)",23.25446042548588,10.982774683549431,2546.516052399672,884.6158070185003,0.038848907,0.12610458,"['IV', 'V', 'biv', 'I']","['I', 'vi', 'IV', 'V', 'biv']"
Metela Sacala,5,Metela Sacala,El Chevo,181996,2014,8,21,21,19,1,False,6.7583019097433406,E,minor,135.99917763157896,"(13, 8221)",21.38576137866861,12.381776522552748,3585.414450252185,1036.2299400715112,0.061991334,0.09460669,"['io', 'bvi', 'bII', 'bvi', 'bII', 'iii']","['bII', 'bvi', 'bII', 'iii', 'bI']"
Work,6,Work,Lil Jon,213787,2014,8,21,21,19,1,False,5.011836247149527,D,major,129.19921875,"(13, 9209)",20.32913589818001,11.8666717626434,2198.763427146764,929.6107151175504,0.026768636,0.045373168,"['bIII', 'vo5b3', 'VII', 'bIII', 'III', 'viio']",
Bolide - Radio Edit,7,Bolide,Soldat Jahman,209929,2014,8,21,21,19,1,False,8.648490211259816,A,minor,99.38401442307692,"(13, 9041)",21.49294315304265,11.432483207301686,2506.0536141703124,912.254899330978,0.03159772,0.03885666,"['V', 'bVII', 'V', 'bVII', 'V', 'v', 'i', 'V']","['V', 'v', 'i', 'V', 'bVII']"
Niña Bonita,8,Mi Niña Bonita,Chino & Nacho,215826,2014,8,21,21,19,1,False,6.779387587340731,A,major,117.45383522727272,"(13, 9732)",22.028329357249604,11.174725535133662,2398.5209837342813,762.8663207813426,0.024595717,0.0593964,"['vi', 'IV', 'V', 'I', 'V', 'vi']","['I', 'V', 'vi', 'IV', 'iii', 'I', 'V', 'vi']"
Atrévete-Te-Te,9,Calle 13 (Explicit Version),Calle 13,239306,2014,8,21,21,19,1,False,7.055699224189377,A,minor,89.10290948275862,"(13, 10054)",21.50504421671232,11.567113583612532,2534.838198514656,859.8938953586072,0.02782116,0.03188471,"['I', 'iv', 'bVI', 'bII', 'vi', 'iio', 'iio', 'I']","['iio', 'i', 'bII', 'iio', 'bVI', 'bII', 'iio', 'I']"
Pegate,10,Pegate,Grupo Treo,198213,2014,8,21,21,19,1,False,7.04419043129861,A,minor,161.4990234375,"(13, 8486)",21.473571571358057,11.479411584793592,2331.8863449044075,786.6634940548533,0.045016557,0.13785304,"['bVI', 'III', 'iv', 'bvii']","['III', 'iv', 'bvii', 'bVI', 'III', 'iv']"
Danza Kuduro,11,Meet The Orphans,Don Omar,198773,2014,8,21,21,19,1,False,7.9725350721201345,A,minor,103.359375,"(13, 10122)",21.48368025451437,11.451017826690157,2726.3355786871125,840.183691664043,0.037503857,0.040152423,"['i', 'bVI', 'III', 'bVII']","['bVI', 'III', 'bVII', 'III', 'i', 'bVI', 'III']"
Gimmie Gimmie,12,Gimmie Gimmie,Beenie Man,184320,2014,8,21,21,19,1,False,5.510339734121122,D#,minor,129.19921875,"(13, 8124)",22.544200807955413,15.02505524844658,2569.7256377016183,1078.4561033269638,0.04457746,0.12466292,"['bII', 'bbV', 'iii', 'bVII', 'bII', 'bbV']","['bVII', 'bII', 'bbV', 'v']"
Maldito Alcohol,13,Armando,Pitbull,201213,2014,8,21,21,19,1,False,6.209862643548751,B,minor,129.19921875,"(13, 8882)",21.828051022339004,11.330426508757462,2414.114147909413,1246.5352495781226,0.06613766,0.17265394,"['bivo', 'vio', '#iii', 'vio', 'bivo', 'vio', 'bIV', 'I']","['bivo', 'vio', 'bIV', 'I', 'bbVII', 'I', 'bIV', 'I']"
Jai Ho! (You Are My Destiny),14,Doll Domination,A.R. Rahman,222413,2014,8,21,21,19,1,False,7.321955330804888,D#,minor,135.99917763157896,"(13, 9492)",21.534372085909663,11.04659600090668,3771.71750192243,896.5133646071037,0.08742648,0.09558755,"['bvii', 'bbv', 'bbvio5b3', 'bbv', 'bVI', 'iii']","['bVI', 'bvii', 'bVI', 'III', 'bVI', 'iii']"
Don't Speak,15,Don't Speak,Desiree Estrada,243435,2014,8,21,21,19,1,False,2.352475436420872,F,minor,135.99917763157896,"(13, 10483)",24.178392418273724,10.21860761013718,1869.373955779,810.4216694553435,0.02167673,0.11752829,"['i', 'iv', 'bVII', 'V']","['v', 'ii', 'i', 'ii']"
Dança do Creu,16,Funk do Brasil (Danse Club No. 1),Mc Creu,259552,2014,8,21,21,19,1,False,7.077370564281559,A#,minor,129.19921875,"(13, 15471)",21.26632958728363,12.433188293161477,2867.928535807306,681.1848395974134,0.044329435,0.03955569,"['bbVI', 'bbVII', 'bbI', 'bvi', 'bbi', 'biio', 'bbII', 'biio']","['bbi', 'biio', 'bbII', 'biio', 'biio', 'bbVII', 'biio', 'bbVII']"
