track_name,pos,album_name,artist_name,duration_ms,playlist_name,playlist_pid,playlist_num_tracks,playlist_num_albums,playlist_num_artists,playlist_num_followers,playlist_collaborative,harmony_degree,tonic,mode,tempo,mfcc_shape,spectral_contrast_mean,spectral_contrast_var,spectral_centroid_mean,spectral_centroid_var,spectral_flatness_mean,spectral_flatness_var
How I Feel,0,How I Feel,Flo Rida,169557,2014,8,21,21,19,1,false,6.297152560083594,F,major,129.19921875,"(13, 7656)",21.106345747720695,11.337711645652593,2640.3012282277514,890.561052293832,0.083839275,0.20573775
Lo Que No Sabes Tú,1,Mi Niña Bonita - Reloaded,Chino & Nacho,232120,2014,8,21,21,19,1,false,6.7913510403682045,A,major,161.4990234375,"(13, 10429)",21.820560170692563,11.282618007641107,2693.961412698073,1082.6187976934443,0.036503382,0.07209051
Chucuchá,2,El Sonido,Ilegales,206959,2014,8,21,21,19,1,false,5.641400940930476,A,minor,143.5546875,"(13, 9565)",21.4158420515161,11.880544598689344,2628.9818377872753,809.0007849166739,0.048471875,0.124956176
Mueva la colita,3,Top Caribe,Various Artists,242373,2014,8,21,21,19,1,false,8.63502251173484,A,minor,143.5546875,"(13, 10439)",21.660701991091106,11.768187429294755,3254.803700780975,926.4303749830137,0.066690035,0.09913181
Be My Baby,4,Lloviendo Estrellas,Leslie Grace,218253,2014,8,21,21,19,1,false,5.192371475953565,E,major,135.99917763157896,"(13, 9648)",23.254460425485878,10.982774683549431,2546.516052399672,884.6158070185003,0.038848907,0.12610458
Metela Sacala,5,Metela Sacala,El Chevo,181996,2014,8,21,21,19,1,false,6.7583019097433406,E,minor,135.99917763157896,"(13, 8221)",21.385761378668615,12.381776522552748,3585.414450252185,1036.2299400715112,0.061991334,0.09460669
Work,6,Work,Lil Jon,213787,2014,8,21,21,19,1,false,5.011836247149527,D,major,129.19921875,"(13, 9209)",20.32913589818001,11.8666717626434,2198.7634271467637,929.6107151175503,0.026768636,0.045373168
Bolide - Radio Edit,7,Bolide,Soldat Jahman,209929,2014,8,21,21,19,1,false,8.648490211259816,A,minor,99.38401442307692,"(13, 9041)",21.492943153042646,11.432483207301686,2506.0536141703124,912.254899330978,0.03159772,0.03885666
Niña Bonita,8,Mi Niña Bonita,Chino & Nacho,215826,2014,8,21,21,19,1,false,6.779387587340731,A,major,117.45383522727273,"(13, 9732)",22.028329357249604,11.174725535133662,2398.5209837342813,762.8663207813426,0.024595717,0.0593964
Atrévete-Te-Te,9,Calle 13 (Explicit Version),Calle 13,239306,2014,8,21,21,19,1,false,7.055699224189377,A,minor,89.10290948275862,"(13, 10054)",21.505044216712317,11.567113583612533,2534.838198514656,859.8938953586072,0.02782116,0.03188471
Pegate,10,Pegate,Grupo Treo,198213,2014,8,21,21,19,1,false,7.04419043129861,A,minor,161.4990234375,"(13, 8486)",21.473571571358057,11.479411584793592,2331.8863449044075,786.6634940548533,0.045016557,0.13785304
Danza Kuduro,11,Meet The Orphans,Don Omar,198773,2014,8,21,21,19,1,false,7.9725350721201345,A,minor,103.359375,"(13, 10122)",21.48368025451437,11.451017826690155,2726.3355786871125,840.183691664043,0.037503857,0.040152423
Gimmie Gimmie,12,Gimmie Gimmie,Beenie Man,184320,2014,8,21,21,19,1,false,5.510339734121122,D#,minor,129.19921875,"(13, 8124)",22.544200807955413,15.02505524844658,2569.7256377016183,1078.4561033269638,0.04457746,0.12466292
Maldito Alcohol,13,Armando,Pitbull,201213,2014,8,21,21,19,1,false,6.2098626435487505,B,minor,129.19921875,"(13, 8882)",21.828051022339004,11.330426508757462,2414.1141479094135,1246.5352495781226,0.06613766,0.17265394
Jai Ho! (You Are My Destiny),14,Doll Domination,A.R. Rahman,222413,2014,8,21,21,19,1,false,7.321955330804888,D#,minor,135.99917763157896,"(13, 9492)",21.534372085909666,11.04659600090668,3771.71750192243,896.5133646071037,0.08742648,0.09558755
Don't Speak,15,Don't Speak,Desiree Estrada,243435,2014,8,21,21,19,1,false,2.352475436420872,F,minor,135.99917763157896,"(13, 10483)",24.178392418273724,10.21860761013718,1869.373955779,810.4216694553435,0.02167673,0.11752829
Dança do Creu,16,Funk do Brasil (Danse Club No. 1),Mc Creu,259552,2014,8,21,21,19,1,false,7.077370564281559,A#,minor,129.19921875,"(13, 15471)",21.26632958728363,12.433188293161475,2867.928535807306,681.1848395974134,0.044329435,0.03955569
La La La (Brasil 2014),17,Shakira. (Deluxe Version),Shakira,197626,2014,8,21,21,19,1,false,6.749451273046532,C#,minor,129.19921875,"(13, 9112)",21.232351444665348,11.574762102285398,2319.6665179050074,880.7794086940642,0.04095154,0.10661419
Hella décalé (feat. Soldat Jahman & Doukali),18,Fiesta Buena,Dj Mam's,234520,2014,8,21,21,19,1,false,7.4511025886864815,F,major,129.19921875,"(13, 10430)",21.06218682613915,11.655231265580637,2808.8113538893394,941.361336905513,0.091197036,0.19619414
Timber,19,Global Warming: Meltdown (Deluxe Version),Pitbull,204160,2014,8,21,21,19,1,false,5.223150357995227,B,major,129.19921875,"(13, 9218)",21.454440366880423,11.475613574813732,2789.0853638330277,846.2964127137294,0.08227628,0.20100042
Love Never Felt so Good,20,XSCAPE,Michael Jackson,246026,2014,8,21,21,19,1,false,6.867468747062694,D,minor,117.45383522727273,"(13, 10639)",21.94473262490618,11.58413558272111,2187.3575227022457,874.0578705349085,0.028401168,0.08113543
No Scrubs,0,Fanmail,TLC,214400,90s,49,12,11,10,1,false,5.603050595238095,G#,minor,92.28515625,"(13, 10752)",22.697542579033424,11.338681940513661,3028.14130704498,1204.6903471503051,0.037981566,0.06347704
...Baby One More Time,1,...Baby One More Time (Digital Deluxe Version),Britney Spears,211066,90s,49,12,11,10,1,false,6.047908298226707,C,minor,92.28515625,"(13, 10207)",21.450068709988955,11.554040009178252,2868.595425521785,996.3168092996399,0.060484983,0.12362224
Wannabe - Radio Edit,2,Spice,Spice Girls,173026,90s,49,12,11,10,1,false,5.2982663514578405,B,major,112.34714673913044,"(13, 7614)",22.25483894509416,12.198548594002744,2343.9770383019436,698.9085704553754,0.05161541,0.17335081
